,X,Y
0,141.5227409,795.4161514
1,92.86102715,569.0476486
2,51.9676596,557.598683
3,113.6659104,350.905606
4,130.8907823,734.0860136
5,122.0256622,642.1477735
6,202.5335114,817.9009045
7,111.6285987,439.6958009
8,88.60165426,711.5536866
9,96.01911406,473.244311
10,67.08101396,379.54415
11,81.58913234,321.7515017
12,267.9285208,869.1578565
13,932.8770533,376.2578418
14,627.1720255,149.8386186
15,119.7581012,293.2588106
16,59.24172924,463.0500398
17,110.7657634,528.4816636
18,305.3845715,903.5602137
19,793.4461088,192.8710892
20,268.8615441,785.9215545
21,173.3877355,345.9596545
22,221.0963903,150.515661
23,714.5251622,477.3626629
24,203.4418801,329.3652325
25,147.6252349,669.2097578
26,583.114851,67.50072905
27,948.717985,468.1742954
28,733.9468042,329.0741689
29,386.4753878,929.8961084
30,403.5715145,184.1632932
31,195.0230489,754.6575868
32,700.6278861,192.4683884
33,494.1762688,309.0299323
34,583.1427055,92.92992285
35,205.1681882,292.4829198
36,623.77439,369.7502274
37,472.2916154,124.7242405
38,517.7664777,144.0271978
39,260.4013255,557.7827647
40,393.8360216,213.0395254
41,277.4165383,462.1734935
42,400.4702345,314.2006163
43,929.0440639,587.3684219
44,887.8638345,306.6085191
45,749.4614837,267.9018235
46,695.3785045,120.6162239
47,293.6446205,856.3310747
48,181.8188511,224.0800172
49,491.2474996,820.9109724
50,373.9618178,874.6109646
51,427.8115784,798.4875874
52,359.5397193,682.0133655
53,600.1200976,855.2539595
54,517.1657605,212.1442408
55,641.721375,702.6440622
56,712.0263764,718.4377732
57,472.6511652,894.1030645
58,411.1322228,93.29648096
59,148.7219978,569.824033
60,406.6682509,61.16194328
61,892.0910733,463.4197328
62,241.3918021,127.5052338
63,518.1858826,52.31441251
64,690.9210128,811.0102958
65,335.218612,164.8566293
66,809.1648285,697.0517635
67,508.2365976,96.0284797
68,850.6986583,213.4841534
69,581.7562529,926.9699749
70,652.9683135,601.4022206
71,841.991818,582.1263741
72,658.3019252,449.4566558
73,379.113082,438.3474266
74,924.5582042,672.3732917
75,791.0898536,247.1363138
76,868.1424663,661.3593991
77,650.6988984,243.6871286
78,264.2896801,671.1013149
79,206.6699538,452.8038497
80,337.5962537,87.70157842
81,795.2999413,760.0246331
82,753.1277831,594.8190577
83,308.4067475,235.1086568
84,860.3705844,376.9938115
85,390.5359844,970.2595689
86,819.3881548,379.3239325
87,906.9537614,733.5480899
88,454.4829875,245.3166191
89,537.139615,910.9299754
90,486.9671024,701.9490826
91,309.6967497,322.0146782
92,374.5593524,582.9686907
93,504.8407481,491.05234
94,898.5881874,552.5819211
95,681.009377,917.1157296
96,553.0591325,982.0566835
97,450.9864312,593.9344036
98,591.6633307,815.6046587
99,829.9754743,468.1034929
100,728.61033,913.3194055
101,697.5261461,869.0896677
102,507.3728858,973.2868466
103,840.6105149,832.6547547
104,760.3226077,848.8016332
105,865.2594625,758.8470805
